LOAN_NBR|BORROWER_ID|COBORROWER_ID|STATE|COUNTY|LOAN_AMT|UPB|MONTHLYPMT|INTEREST_AMT|PMT_METHOD|DUE_DT|TXN_DT|DT_SRCE_BEG|DT_SRCE_END|ACTIVE
0000000158|0000000158|0000000158|DC|East|781765259|410269078|84753|5588|ACH|2019-03-31|2018-07-03 11:40:48|2018-07-02 22:53:37|9999-12-31 00:00:00|A
0000000159|0000000159|0000000159|TX|Travis|947369200|16787676|92636|9933|Check|2021-02-28|2018-07-29 09:41:20|2018-07-10 00:54:57|9999-12-31 00:00:00|A
0000000160|0000000160|0000000160|NJ|North|302588670|65594475|24720|28442|ACH|2020-06-30|2018-07-17 03:29:02|2018-07-13 14:32:28|9999-12-31 00:00:00|A
0000000161|0000000161|0000000161|VT|East|125185631|84251089|13099|29641|Wire|2020-07-31|2018-07-29 05:20:10|2018-07-21 01:56:46|9999-12-31 00:00:00|A
0000000162|0000000162|0000000162|MA|Central|682239973|72702123|45309|82364|Check|2025-11-30|2018-07-18 23:40:31|2018-07-01 07:36:45|9999-12-31 00:00:00|A
0000000163|0000000163|0000000163|SC|North|40044993|19848078|36257|11917|Internal Transfer|2018-07-31|2018-07-01 18:09:42|2018-07-01 09:39:54|9999-12-31 00:00:00|A
0000000164|0000000164|0000000164|ND|West|122636746|65269320|99151|92994|Check|2021-04-30|2018-07-17 14:03:03|2018-07-13 12:54:33|9999-12-31 00:00:00|A
0000000165|0000000165|0000000165|KS|South|450357088|15734641|83666|27854|Check|2023-02-28|2018-07-15 22:24:45|2018-07-02 15:07:50|9999-12-31 00:00:00|A
0000000166|0000000166|0000000166|NY|New York|459644016|38135628|59190|30930|Internal Transfer|2019-10-31|2018-07-27 21:12:41|2018-07-22 17:33:13|9999-12-31 00:00:00|A
0000000167|0000000167|0000000167|NV|North|508700984|314791002|65155|65680|Check|2020-11-30|2018-07-23 18:38:37|2018-07-07 17:00:40|9999-12-31 00:00:00|A
0000000168|0000000168|0000000168|NM|South|375616743|167292163|7263|70426|Check|2024-06-30|2018-07-20 02:37:27|2018-07-16 19:41:54|9999-12-31 00:00:00|A
0000000169|0000000169|0000000169|MD|East|164365968|155834899|41712|35440|Internal Transfer|2025-04-30|2018-07-27 13:30:16|2018-07-16 02:33:48|9999-12-31 00:00:00|A
0000000170|0000000170|0000000170|CO|North|425437855|232150587|53189|45659|Internal Transfer|2024-10-31|2018-07-20 05:47:02|2018-07-03 16:03:21|9999-12-31 00:00:00|A
0000000171|0000000171|0000000171|ID|East|541112993|360806025|40406|14976|Check|2020-09-30|2018-07-20 11:58:26|2018-07-01 03:30:44|9999-12-31 00:00:00|A
0000000172|0000000172|0000000172|IA|West|424426833|93274992|73882|50121|Internal Transfer|2025-07-31|2018-07-23 11:59:53|2018-07-04 11:05:20|9999-12-31 00:00:00|A
0000000173|0000000173|0000000173|VA|Central|519451045|353282119|28261|51185|ACH|2026-08-31|2018-07-06 11:29:12|2018-07-01 03:34:18|9999-12-31 00:00:00|A
0000000174|0000000174|0000000174|LA|East|972710141|427141803|92776|99661|Internal Transfer|2025-02-28|2018-07-22 09:39:59|2018-07-03 01:05:43|9999-12-31 00:00:00|A
0000000175|0000000175|0000000175|OK|West|564214246|269134732|75545|85311|Check|2023-10-31|2018-07-20 10:25:51|2018-07-10 08:16:53|9999-12-31 00:00:00|A
0000000176|0000000176|0000000176|WV|Central|629835408|4285425|30117|70983|Wire|2021-06-30|2018-07-03 02:52:06|2018-07-01 04:57:44|9999-12-31 00:00:00|A
0000000177|0000000177|0000000177|PA|Allegheny|241359361|10156463|16426|39847|Internal Transfer|2026-02-28|2018-07-14 20:27:06|2018-07-12 07:41:45|9999-12-31 00:00:00|A
0000000178|0000000178|0000000178|DC|North|505209092|295139433|53238|35614|Wire|2026-11-30|2018-07-09 02:39:47|2018-07-03 19:04:36|9999-12-31 00:00:00|A
0000000179|0000000179|0000000179|WA|Central|143564059|104243393|72280|40587|ACH|2019-07-31|2018-07-29 22:38:58|2018-07-19 21:46:52|9999-12-31 00:00:00|A
0000000180|0000000180|0000000180|DC|West|170335011|32954967|32626|58814|Check|2024-10-31|2018-07-17 02:48:45|2018-07-08 04:01:02|9999-12-31 00:00:00|A
0000000181|0000000181|0000000181|MA|East|666864236|379374754|16615|51625|Internal Transfer|2024-12-31|2018-07-08 07:05:39|2018-07-08 02:59:11|9999-12-31 00:00:00|A
0000000182|0000000182|0000000182|NC|Cumberland|355355421|265669907|73571|95322|ACH|2021-01-31|2018-07-05 15:52:07|2018-07-05 09:58:45|9999-12-31 00:00:00|A
0000000183|0000000183|0000000183|DC|North|768374404|718952104|69652|46940|Check|2023-02-28|2018-07-17 20:38:26|2018-07-17 09:19:24|9999-12-31 00:00:00|A
0000000184|0000000184|0000000184|MS|East|664662573|230005541|80712|822|Check|2024-06-30|2018-07-07 06:02:40|2018-07-04 18:34:41|9999-12-31 00:00:00|A
0000000185|0000000185|0000000185|FL|Miami-Dade|200147624|155023574|60920|38000|Internal Transfer|2026-01-31|2018-07-10 19:10:01|2018-07-04 06:00:18|9999-12-31 00:00:00|A
0000000186|0000000186|0000000186|UT|Central|371203824|216313733|29871|12077|ACH|2019-11-30|2018-07-31 02:50:04|2018-07-25 12:44:03|9999-12-31 00:00:00|A
0000000187|0000000187|0000000187|MI|Wayne|581620957|59702267|75495|73304|Wire|2019-05-31|2018-07-01 20:28:33|2018-07-01 12:38:37|9999-12-31 00:00:00|A
0000000188|0000000188|0000000188|AZ|South|183810083|97712344|84563|32391|Check|2024-06-30|2018-07-28 10:41:42|2018-07-28 04:05:22|9999-12-31 00:00:00|A
0000000189|0000000189|0000000189|MD|East|658966637|128594924|82931|44744|Wire|2026-11-30|2018-07-13 08:36:04|2018-07-10 22:50:33|9999-12-31 00:00:00|A
0000000190|0000000190|0000000190|NV|North|367200609|132851887|79170|91933|Internal Transfer|2025-09-30|2018-07-23 10:55:27|2018-07-16 05:55:00|9999-12-31 00:00:00|A
0000000191|0000000191|0000000191|NC|Guilford|99145506|27181039|60298|35580|Wire|2025-05-31|2018-07-11 13:15:57|2018-07-03 17:35:13|9999-12-31 00:00:00|A
0000000192|0000000192|0000000192|ME|West|473540232|163193220|97922|40257|ACH|2018-07-31|2018-07-31 11:06:51|2018-07-06 01:03:59|9999-12-31 00:00:00|A
0000000193|0000000193|0000000193|IA|South|645969362|302702572|58471|7003|Internal Transfer|2022-08-31|2018-07-19 17:00:01|2018-07-01 05:41:45|9999-12-31 00:00:00|A
0000000194|0000000194|0000000194|ID|North|239228123|23140898|44258|72836|Internal Transfer|2022-01-31|2018-07-16 19:50:32|2018-07-02 23:11:59|9999-12-31 00:00:00|A
0000000195|0000000195|0000000195|WV|North|469325182|109923035|6297|36940|ACH|2022-10-31|2018-07-04 15:08:56|2018-07-01 08:00:24|9999-12-31 00:00:00|A
0000000196|0000000196|0000000196|WY|West|126776643|119827725|31848|56603|ACH|2020-09-30|2018-07-30 15:22:06|2018-07-08 11:59:29|9999-12-31 00:00:00|A
0000000197|0000000197|0000000197|NY|Suffolk|154342782|93454093|47996|67364|Internal Transfer|2021-09-30|2018-07-02 16:47:41|2018-07-02 07:11:31|9999-12-31 00:00:00|A
0000000198|0000000198|0000000198|MS|Central|197582591|108234523|84379|69947|ACH|2021-01-31|2018-07-23 08:11:57|2018-07-04 20:08:21|9999-12-31 00:00:00|A
0000000199|0000000199|0000000199|SD|East|309446715|34112503|16124|27196|Wire|2018-09-30|2018-07-01 13:58:49|2018-07-01 11:46:04|9999-12-31 00:00:00|A
0000000200|0000000200|0000000200|DE|South|388755902|24959809|86400|31834|Check|2022-12-31|2018-07-09 22:21:27|2018-07-06 21:25:22|9999-12-31 00:00:00|A
0000000201|0000000201|0000000201|MO|South|974752975|805017689|18700|63312|ACH|2021-03-31|2018-07-11 18:12:22|2018-07-10 18:10:16|9999-12-31 00:00:00|A
0000000202|0000000202|0000000202|CA|San Diego|712414334|386296893|39265|46040|Check|2020-10-31|2018-07-16 20:21:09|2018-07-13 12:20:17|9999-12-31 00:00:00|A
0000000203|0000000203|0000000203|KY|North|100614543|2156668|74973|36278|Check|2021-05-31|2018-07-28 12:24:59|2018-07-07 13:39:07|9999-12-31 00:00:00|A
0000000204|0000000204|0000000204|NV|East|611411768|341126906|97755|72782|Internal Transfer|2026-04-30|2018-07-09 23:33:53|2018-07-05 09:16:53|9999-12-31 00:00:00|A
0000000205|0000000205|0000000205|IA|East|752537590|331755019|83845|24939|ACH|2018-04-30|2018-07-18 09:13:41|2018-07-10 11:17:45|9999-12-31 00:00:00|A
0000000206|0000000206|0000000206|NC|Wake|257491497|176568110|96059|15710|Wire|2020-08-31|2018-07-04 00:14:36|2018-07-03 00:36:04|9999-12-31 00:00:00|A
0000000207|0000000207|0000000207|IN|South|418307534|364147150|77524|4963|ACH|2026-01-31|2018-07-30 11:07:40|2018-07-05 02:06:35|9999-12-31 00:00:00|A
0000000208|0000000208|0000000208|MO|North|156272224|108808634|97439|26472|Internal Transfer|2020-05-31|2018-07-31 14:52:44|2018-07-19 15:00:21|9999-12-31 00:00:00|A
0000000209|0000000209|0000000209|MO|West|992687486|532977708|77220|4303|ACH|2021-12-31|2018-07-30 14:05:01|2018-07-16 10:21:55|9999-12-31 00:00:00|A
0000000210|0000000210|0000000210|GA|DeKalb|511953953|370538213|59304|11130|ACH|2023-07-31|2018-07-29 02:33:01|2018-07-17 21:48:00|9999-12-31 00:00:00|A
0000000211|0000000211|0000000211|ID|South|583248925|409067895|66417|48662|Check|2021-06-30|2018-07-13 12:43:20|2018-07-04 18:46:50|9999-12-31 00:00:00|A
0000000212|0000000212|0000000212|WI|South|759050561|269928212|45473|51582|Check|2019-04-30|2018-07-13 13:32:24|2018-07-11 12:30:23|9999-12-31 00:00:00|A
0000000213|0000000213|0000000213|TN|South|968740|922370|34806|10823|ACH|2020-01-31|2018-07-06 21:45:57|2018-07-03 15:53:46|9999-12-31 00:00:00|A
0000000214|0000000214|0000000214|AK|South|117088061|65267398|51239|88013|Check|2022-08-31|2018-07-23 00:00:54|2018-07-04 04:47:15|9999-12-31 00:00:00|A
0000000215|0000000215|0000000215|ID|West|813377521|713590529|29649|29395|Internal Transfer|2020-09-30|2018-07-24 09:49:42|2018-07-01 22:32:47|9999-12-31 00:00:00|A
0000000216|0000000216|0000000216|WY|East|752692146|299636150|80978|75475|ACH|2026-04-30|2018-07-12 08:21:15|2018-07-08 06:07:10|9999-12-31 00:00:00|A
0000000217|0000000217|0000000217|AK|South|214901082|36804642|82429|73434|Wire|2018-01-31|2018-07-17 12:03:25|2018-07-14 02:25:48|9999-12-31 00:00:00|A
0000000218|0000000218|0000000218|AR|South|20848637|12985157|3116|38658|Wire|2023-02-28|2018-07-02 02:17:43|2018-07-01 17:42:50|9999-12-31 00:00:00|A
0000000219|0000000219|0000000219|HI|North|539972625|170224563|63065|65329|Internal Transfer|2024-03-31|2018-07-30 13:53:40|2018-07-09 11:04:33|9999-12-31 00:00:00|A
0000000220|0000000220|0000000220|NY|Suffolk|919405478|229100022|65661|65651|ACH|2022-10-31|2018-07-13 14:23:20|2018-07-12 16:36:22|9999-12-31 00:00:00|A
0000000221|0000000221|0000000221|AK|Central|856396884|805906513|90575|20465|ACH|2026-01-31|2018-07-15 14:57:47|2018-07-14 02:25:01|9999-12-31 00:00:00|A
0000000222|0000000222|0000000222|VT|Central|676624577|519461666|54714|85455|Internal Transfer|2021-11-30|2018-07-18 18:18:35|2018-07-06 23:59:40|9999-12-31 00:00:00|A
0000000223|0000000223|0000000223|IL|Lake|337915168|248604098|62468|63565|Internal Transfer|2025-10-31|2018-07-29 20:33:36|2018-07-25 15:25:29|9999-12-31 00:00:00|A
0000000224|0000000224|0000000224|PA|Allegheny|683334801|245881149|85319|36853|Check|2018-03-31|2018-07-25 04:31:10|2018-07-23 03:11:48|9999-12-31 00:00:00|A
0000000225|0000000225|0000000225|PA|Philadelphia|670605279|315086063|83986|99101|Internal Transfer|2021-11-30|2018-07-13 01:09:23|2018-07-07 06:42:11|9999-12-31 00:00:00|A
0000000226|0000000226|0000000226|KY|West|733482985|296941347|23268|54178|ACH|2025-09-30|2018-07-21 02:50:40|2018-07-01 01:39:48|9999-12-31 00:00:00|A
0000000227|0000000227|0000000227|DC|North|422335012|281148363|17051|24197|Wire|2024-04-30|2018-07-21 16:14:36|2018-07-10 20:19:44|9999-12-31 00:00:00|A
0000000228|0000000228|0000000228|MN|Central|246943433|80308718|92996|2746|Wire|2019-03-31|2018-07-20 06:20:00|2018-07-09 10:37:02|9999-12-31 00:00:00|A
0000000229|0000000229|0000000229|CT|West|987882175|765761419|90420|19743|Check|2020-06-30|2018-07-28 02:27:03|2018-07-13 11:53:56|9999-12-31 00:00:00|A
0000000230|0000000230|0000000230|MN|South|788868093|665158537|35474|92097|Wire|2022-05-31|2018-07-06 15:52:55|2018-07-04 22:32:31|9999-12-31 00:00:00|A
0000000231|0000000231|0000000231|MA|Central|657779996|501627400|96407|80517|Wire|2020-03-31|2018-07-18 08:29:52|2018-07-11 10:44:06|9999-12-31 00:00:00|A
0000000232|0000000232|0000000232|ID|East|627899644|153403259|68556|15640|Internal Transfer|2023-05-31|2018-07-21 02:18:10|2018-07-19 13:51:21|9999-12-31 00:00:00|A
0000000233|0000000233|0000000233|PA|Delaware|6281720|1048611|6251|16486|Wire|2020-03-31|2018-07-31 14:51:21|2018-07-25 23:08:53|9999-12-31 00:00:00|A
0000000234|0000000234|0000000234|KY|West|393960716|192232303|25564|2423|Internal Transfer|2018-02-28|2018-07-20 22:11:35|2018-07-02 17:00:02|9999-12-31 00:00:00|A
0000000235|0000000235|0000000235|WY|Central|279480269|8902794|32270|59570|Wire|2023-02-28|2018-07-06 01:03:37|2018-07-03 20:40:22|9999-12-31 00:00:00|A
0000000236|0000000236|0000000236|AZ|North|633275874|354969818|97088|39440|Wire|2025-06-30|2018-07-06 11:45:04|2018-07-01 08:06:00|9999-12-31 00:00:00|A
0000000237|0000000237|0000000237|MD|West|216964347|111938147|44843|8599|Internal Transfer|2020-08-31|2018-07-15 03:05:35|2018-07-11 21:11:40|9999-12-31 00:00:00|A
0000000238|0000000238|0000000238|RI|North|880466801|847148121|89848|56251|Check|2020-01-31|2018-07-22 21:02:19|2018-07-09 16:06:16|9999-12-31 00:00:00|A
0000000239|0000000239|0000000239|GA|Fulton|692048404|442767028|53218|29400|Internal Transfer|2025-09-30|2018-07-12 06:41:30|2018-07-09 11:08:45|9999-12-31 00:00:00|A
0000000240|0000000240|0000000240|RI|East|679405213|605172185|44449|36666|ACH|2018-03-31|2018-07-11 16:56:35|2018-07-02 02:39:55|9999-12-31 00:00:00|A
0000000241|0000000241|0000000241|ME|West|955219376|178510767|84124|97487|ACH|2019-11-30|2018-07-30 17:55:18|2018-07-04 00:14:21|9999-12-31 00:00:00|A
0000000242|0000000242|0000000242|NE|North|616578826|596188414|70672|91702|ACH|2025-11-30|2018-07-15 21:45:07|2018-07-15 04:14:50|9999-12-31 00:00:00|A
0000000243|0000000243|0000000243|MO|East|234038939|220165491|70134|6873|Wire|2026-03-31|2018-07-03 22:17:55|2018-07-01 16:41:09|9999-12-31 00:00:00|A
0000000244|0000000244|0000000244|MI|Genesee|700301065|663405962|13692|51632|Check|2026-03-31|2018-07-13 12:47:09|2018-07-09 05:07:15|9999-12-31 00:00:00|A
0000000245|0000000245|0000000245|WV|South|534864090|270818530|27993|15182|ACH|2018-05-31|2018-07-16 03:26:30|2018-07-01 16:22:15|9999-12-31 00:00:00|A
0000000246|0000000246|0000000246|ME|North|439704752|401473690|20319|84380|Internal Transfer|2024-01-31|2018-07-17 01:48:24|2018-07-08 03:40:45|9999-12-31 00:00:00|A
0000000247|0000000247|0000000247|NJ|East|920740366|333038003|77537|94701|ACH|2026-10-31|2018-07-05 00:58:40|2018-07-04 02:05:44|9999-12-31 00:00:00|A
0000000248|0000000248|0000000248|AL|West|203952547|99093025|48133|55765|Internal Transfer|2019-03-31|2018-07-08 12:20:30|2018-07-02 05:09:03|9999-12-31 00:00:00|A
0000000249|0000000249|0000000249|SC|Central|646903894|562534966|43244|26736|Wire|2025-04-30|2018-07-11 08:18:08|2018-07-10 01:19:27|9999-12-31 00:00:00|A
0000000250|0000000250|0000000250|UT|South|965909843|733380633|11245|86737|Wire|2022-11-30|2018-07-24 21:12:08|2018-07-09 17:29:30|9999-12-31 00:00:00|A
0000000251|0000000251|0000000251|SC|South|111878163|66657651|73706|97151|Check|2026-08-31|2018-07-30 00:46:57|2018-07-17 07:40:16|9999-12-31 00:00:00|A
0000000252|0000000252|0000000252|KS|South|152291306|27666716|56926|83781|ACH|2019-02-28|2018-07-11 16:25:41|2018-07-10 00:51:50|9999-12-31 00:00:00|A
0000000253|0000000253|0000000253|WA|East|175783256|157129894|84527|23849|ACH|2023-09-30|2018-07-16 00:16:10|2018-07-03 14:59:46|9999-12-31 00:00:00|A
0000000254|0000000254|0000000254|DE|South|874886343|82412036|41881|21730|ACH|2024-07-31|2018-07-02 09:11:13|2018-07-01 10:41:16|9999-12-31 00:00:00|A
0000000255|0000000255|0000000255|WA|West|774626374|481951298|28202|38459|Wire|2018-07-31|2018-07-18 11:25:53|2018-07-03 12:05:22|9999-12-31 00:00:00|A
0000000256|0000000256|0000000256|TX|Travis|24108812|16794540|13373|97031|Wire|2025-10-31|2018-07-01 01:30:21|2018-07-01 00:51:51|9999-12-31 00:00:00|A
0000000257|0000000257|0000000257|KY|East|629686166|130053152|87380|59868|Wire|2023-08-31|2018-07-20 22:12:10|2018-07-09 10:41:24|9999-12-31 00:00:00|A
0000000258|0000000258|0000000258|NE|East|167537210|36715953|17251|6707|Wire|2023-02-28|2018-07-24 23:47:34|2018-07-19 07:31:55|9999-12-31 00:00:00|A
0000000259|0000000259|0000000259|KS|Central|742653570|411642975|61722|89714|Wire|2021-06-30|2018-07-23 18:46:11|2018-07-10 01:07:46|9999-12-31 00:00:00|A
0000000260|0000000260|0000000260|FL|Orange|770337757|298181574|15033|4171|Check|2023-07-31|2018-07-08 12:43:58|2018-07-01 17:26:58|9999-12-31 00:00:00|A
0000000261|0000000261|0000000261|DC|Central|435634332|255907336|38043|63459|Wire|2020-02-29|2018-07-03 16:02:34|2018-07-02 01:18:22|9999-12-31 00:00:00|A
0000000262|0000000262|0000000262|NJ|North|559249393|18754045|97211|39760|ACH|2023-12-31|2018-07-18 18:47:19|2018-07-01 15:19:42|9999-12-31 00:00:00|A
0000000263|0000000263|0000000263|GA|Cobb|812158215|50006314|96751|15407|Check|2026-09-30|2018-07-25 02:46:42|2018-07-01 05:13:24|9999-12-31 00:00:00|A
0000000264|0000000264|0000000264|DC|West|945507182|936168989|50908|95602|Wire|2023-11-30|2018-07-21 05:49:59|2018-07-16 02:06:37|9999-12-31 00:00:00|A
0000000265|0000000265|0000000265|ME|East|205129911|116386635|15556|4938|Check|2026-09-30|2018-07-23 02:20:02|2018-07-17 07:22:10|9999-12-31 00:00:00|A
0000000266|0000000266|0000000266|CT|Central|188396757|44892256|22009|32814|Check|2023-07-31|2018-07-21 03:56:04|2018-07-09 03:20:24|9999-12-31 00:00:00|A
0000000267|0000000267|0000000267|OH|Hamilton|525840005|524465658|25419|83740|Internal Transfer|2018-07-31|2018-07-21 20:28:55|2018-07-06 23:45:25|9999-12-31 00:00:00|A
0000000268|0000000268|0000000268|RI|West|895053489|553481763|28023|62621|Internal Transfer|2019-12-31|2018-07-02 05:29:02|2018-07-01 16:05:36|9999-12-31 00:00:00|A
0000000269|0000000269|0000000269|NE|South|576625060|543856677|35931|30707|ACH|2018-05-31|2018-07-31 02:06:31|2018-07-07 19:59:22|9999-12-31 00:00:00|A
0000000270|0000000270|0000000270|MT|East|516904419|401691611|4553|37272|Internal Transfer|2019-08-31|2018-07-17 07:19:14|2018-07-17 01:23:13|9999-12-31 00:00:00|A
0000000271|0000000271|0000000271|NE|East|604337255|447164613|4703|40503|Wire|2023-12-31|2018-07-10 07:25:37|2018-07-05 06:50:50|9999-12-31 00:00:00|A
0000000272|0000000272|0000000272|NM|South|200892751|140544441|68717|38442|Internal Transfer|2022-10-31|2018-07-09 10:58:27|2018-07-08 06:15:36|9999-12-31 00:00:00|A
0000000273|0000000273|0000000273|GA|Cobb|217533690|50419737|63467|31466|Wire|2023-09-30|2018-07-29 02:10:55|2018-07-17 16:08:39|9999-12-31 00:00:00|A
0000000274|0000000274|0000000274|NE|West|544512473|70506742|58984|25807|Wire|2024-11-30|2018-07-31 19:24:12|2018-07-10 17:47:49|9999-12-31 00:00:00|A
0000000275|0000000275|0000000275|IA|East|478675114|141448727|20605|26051|ACH|2025-03-31|2018-07-02 00:06:10|2018-07-01 06:11:26|9999-12-31 00:00:00|A
0000000276|0000000276|0000000276|RI|West|200869209|57003313|85756|21471|Internal Transfer|2023-05-31|2018-07-18 10:16:49|2018-07-07 17:12:43|9999-12-31 00:00:00|A
0000000277|0000000277|0000000277|OK|East|464935305|162308935|23916|31021|ACH|2019-04-30|2018-07-20 18:44:12|2018-07-15 19:22:38|9999-12-31 00:00:00|A
0000000278|0000000278|0000000278|AL|Central|35506312|34423132|69733|64248|ACH|2026-10-31|2018-07-29 19:00:14|2018-07-18 15:55:10|9999-12-31 00:00:00|A
0000000279|0000000279|0000000279|VA|East|582240706|98415995|3849|60788|Internal Transfer|2024-02-29|2018-07-08 19:13:14|2018-07-02 08:40:21|9999-12-31 00:00:00|A
0000000280|0000000280|0000000280|PA|Bucks|882142603|81803453|74640|87061|Check|2020-04-30|2018-07-02 12:51:02|2018-07-02 10:41:17|9999-12-31 00:00:00|A
0000000281|0000000281|0000000281|DE|South|298421546|242600145|6964|68124|Internal Transfer|2021-02-28|2018-07-13 08:10:58|2018-07-10 01:48:44|9999-12-31 00:00:00|A
0000000282|0000000282|0000000282|NM|South|840221851|427964433|32272|72223|Wire|2026-08-31|2018-07-15 06:30:48|2018-07-02 20:00:00|9999-12-31 00:00:00|A
0000000283|0000000283|0000000283|DC|South|17213768|2059534|91914|91405|Internal Transfer|2024-06-30|2018-07-22 16:58:11|2018-07-09 05:54:37|9999-12-31 00:00:00|A
0000000284|0000000284|0000000284|OR|East|15466028|9203323|24932|39120|Check|2021-08-31|2018-07-24 07:32:14|2018-07-14 10:53:55|9999-12-31 00:00:00|A
0000000285|0000000285|0000000285|WV|North|671919481|581375620|27225|49319|Check|2021-01-31|2018-07-25 14:22:48|2018-07-13 02:24:08|9999-12-31 00:00:00|A
0000000286|0000000286|0000000286|UT|West|445692960|300733704|28526|71003|Internal Transfer|2020-10-31|2018-07-10 21:57:57|2018-07-09 01:34:26|9999-12-31 00:00:00|A
0000000287|0000000287|0000000287|MN|East|977980900|234946642|66344|94611|Wire|2022-03-31|2018-07-03 19:32:49|2018-07-02 12:45:23|9999-12-31 00:00:00|A
0000000288|0000000288|0000000288|SC|Central|820205314|337038346|11412|91050|Internal Transfer|2022-11-30|2018-07-08 09:39:23|2018-07-04 04:26:52|9999-12-31 00:00:00|A
0000000289|0000000289|0000000289|AZ|East|145757775|106980275|65215|72969|Wire|2025-06-30|2018-07-01 00:01:27|2018-07-01 00:00:26|9999-12-31 00:00:00|A
0000000290|0000000290|0000000290|WY|Central|280831637|162028759|60072|92727|Wire|2025-05-31|2018-07-16 21:15:40|2018-07-01 10:42:23|9999-12-31 00:00:00|A
0000000291|0000000291|0000000291|KS|South|922906417|904934718|72249|75259|ACH|2024-03-31|2018-07-26 15:24:51|2018-07-23 04:34:47|9999-12-31 00:00:00|A
0000000292|0000000292|0000000292|WY|West|863011299|131697555|92802|13606|Wire|2019-12-31|2018-07-10 09:32:40|2018-07-05 07:51:56|9999-12-31 00:00:00|A
0000000293|0000000293|0000000293|AZ|South|839167981|94528464|79927|68716|Internal Transfer|2025-10-31|2018-07-11 05:50:12|2018-07-11 03:11:23|9999-12-31 00:00:00|A
0000000294|0000000294|0000000294|TX|Dallas|198037856|60022590|26933|99081|Check|2020-10-31|2018-07-25 18:33:57|2018-07-09 05:15:33|9999-12-31 00:00:00|A
0000000295|0000000295|0000000295|MO|South|201586426|184386081|36286|37492|Check|2026-06-30|2018-07-21 11:58:38|2018-07-18 21:51:44|9999-12-31 00:00:00|A
0000000296|0000000296|0000000296|MO|West|141913809|68013807|75982|57213|Wire|2025-02-28|2018-07-31 06:37:26|2018-07-05 00:15:45|9999-12-31 00:00:00|A
0000000297|0000000297|0000000297|VT|Central|797372410|94150954|91506|3978|Internal Transfer|2023-10-31|2018-07-26 04:55:33|2018-07-03 13:37:44|9999-12-31 00:00:00|A
0000000298|0000000298|0000000298|DE|West|729913740|63634149|18204|13949|Check|2025-04-30|2018-07-02 11:37:21|2018-07-01 03:17:15|9999-12-31 00:00:00|A
0000000299|0000000299|0000000299|WA|Central|109850007|48257043|81468|43275|Wire|2022-03-31|2018-07-03 11:35:45|2018-07-03 09:31:53|9999-12-31 00:00:00|A
0000000300|0000000300|0000000300|NY|Queens|971884234|627901588|41908|69026|ACH|2024-06-30|2018-07-06 01:30:37|2018-07-05 11:59:12|9999-12-31 00:00:00|A
0000000301|0000000301|0000000301|MA|South|125503289|70790237|97900|21287|Wire|2022-03-31|2018-07-03 19:30:34|2018-07-02 00:08:44|9999-12-31 00:00:00|A
0000000302|0000000302|0000000302|MN|West|576476646|563654294|73990|88080|Wire|2019-02-28|2018-07-20 08:26:53|2018-07-05 08:48:48|9999-12-31 00:00:00|A
0000000303|0000000303|0000000303|OR|West|743183587|160190515|72434|7931|Wire|2023-07-31|2018-07-15 13:19:57|2018-07-15 02:29:40|9999-12-31 00:00:00|A
0000000304|0000000304|0000000304|MT|Central|64210769|62425543|38468|79554|ACH|2018-05-31|2018-07-05 18:28:55|2018-07-01 20:53:36|9999-12-31 00:00:00|A
0000000305|0000000305|0000000305|WY|West|724046581|506072640|92938|24982|Internal Transfer|2023-10-31|2018-07-15 10:40:42|2018-07-12 11:18:13|9999-12-31 00:00:00|A
0000000306|0000000306|0000000306|SC|South|150759529|137717412|80098|86859|Check|2021-06-30|2018-07-30 11:56:28|2018-07-01 06:07:24|9999-12-31 00:00:00|A
0000000307|0000000307|0000000307|SC|Central|93928688|84018760|33272|47417|ACH|2020-01-31|2018-07-15 03:46:43|2018-07-15 01:38:54|9999-12-31 00:00:00|A
0000000308|0000000308|0000000308|DE|West|779933485|226413199|29120|9418|ACH|2025-11-30|2018-07-22 03:34:06|2018-07-04 01:29:11|9999-12-31 00:00:00|A
0000000309|0000000309|0000000309|TX|Dallas|31540246|2256105|12149|57101|Wire|2024-04-30|2018-07-04 13:34:46|2018-07-01 10:44:23|9999-12-31 00:00:00|A
0000000310|0000000310|0000000310|NE|North|451636197|19740850|88914|38184|ACH|2019-07-31|2018-07-25 18:33:12|2018-07-13 10:47:22|9999-12-31 00:00:00|A
0000000311|0000000311|0000000311|MO|Central|727708355|524420227|18402|30083|Wire|2021-01-31|2018-07-12 10:41:57|2018-07-05 17:44:16|9999-12-31 00:00:00|A
0000000312|0000000312|0000000312|NJ|East|717081405|66536999|72553|69944|ACH|2019-04-30|2018-07-01 08:33:47|2018-07-01 01:11:36|9999-12-31 00:00:00|A
0000000313|0000000313|0000000313|RI|Central|758670508|492891879|91457|55336|Wire|2020-07-31|2018-07-13 04:21:02|2018-07-01 23:16:41|9999-12-31 00:00:00|A
0000000314|0000000314|0000000314|OH|Cuyahoga|984532639|333719674|39278|78590|Wire|2020-02-29|2018-07-19 21:32:42|2018-07-07 06:36:49|9999-12-31 00:00:00|A
0000000315|0000000315|0000000315|NJ|North|112889202|48528564|64496|22747|Wire|2018-08-31|2018-07-26 01:12:35|2018-07-25 15:42:06|9999-12-31 00:00:00|A
